Epoch: [0][0/492], lr: 0.00100	Time 5.236 (5.236)	Data 4.235 (4.235)	Loss 2.2875 (2.2875)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Epoch: [0][20/492], lr: 0.00100	Time 0.595 (0.950)	Data 0.001 (0.202)	Loss 2.3282 (2.4344)	Prec@1 0.000 (4.762)	Prec@5 50.000 (52.381)
Epoch: [0][40/492], lr: 0.00100	Time 0.597 (0.792)	Data 0.000 (0.104)	Loss 2.3311 (2.3842)	Prec@1 0.000 (8.537)	Prec@5 50.000 (47.561)
